wellbeing,well,age,age3,stream,hours,work,composer,genre
-1.8781159,0,16,Youngest,Spotify,9,Yes,No,Metal
-1.4123672,0,16,Youngest,Other,3,Yes,Yes,Rock
-1.389841,0,16,Youngest,Spotify,6,Yes,No,Pop
-1.2893814,0,16,Youngest,Other,3,Yes,No,Classical
-1.2829247,0,16,Youngest,Spotify,8,Yes,Yes,Rock
-1.1888422,0,16,Youngest,Spotify,15,Yes,No,Other
-0.93573666,0,16,Youngest,Spotify,10,Yes,No,Other
-0.92868978,0,16,Youngest,Apple Music,2,No,No,Pop
-0.89358139,0,16,Youngest,Spotify,3,Yes,No,Rock
-0.87542582,0,16,Youngest,Spotify,6,Yes,No,Other
-0.81259114,0,16,Youngest,Spotify,4,Yes,No,Pop
-0.77584231,0,16,Youngest,Spotify,3,Yes,No,Other
-0.7708841,0,16,Youngest,Spotify,5,Yes,Yes,Other
-0.68597132,0,16,Youngest,Spotify,8,Yes,No,Other
-0.61973673,0,16,Youngest,Apple Music,4,Yes,No,Other
-0.55608571,1,16,Youngest,Spotify,4,Yes,No,Rock
-0.48681414,1,16,Youngest,Spotify,7,Yes,No,Other
-0.44932857,1,16,Youngest,Spotify,2,Yes,Yes,Rock
-0.40324557,1,16,Youngest,Spotify,12,Yes,Yes,Other
-0.28387377,1,16,Youngest,Spotify,3,No,No,Pop
-0.26261204,1,16,Youngest,Spotify,2,Yes,No,Other
-0.23890087,1,16,Youngest,Other,1,No,No,Other
-0.19519255,1,16,Youngest,Spotify,5,Yes,Yes,Metal
-0.16283919,1,16,Youngest,Spotify,3,No,No,Rock
-0.034028798,1,16,Youngest,YouTube Music,3,Yes,No,Rock
-0.029737737,1,16,Youngest,Spotify,2,Yes,No,Classical
-0.008022588,1,16,Youngest,Spotify,3,Yes,No,Pop
0.15772073,1,16,Youngest,Other,4,Yes,No,Other
0.18187489,1,16,Youngest,Spotify,4,Yes,Yes,Other
0.25322211,1,16,Youngest,Spotify,2,Yes,No,Other
0.27951685,1,16,Youngest,Spotify,24,Yes,No,Rock
0.38229665,1,16,Youngest,Spotify,4,Yes,No,Rock
0.45956764,1,16,Youngest,Spotify,2.5,No,Yes,Metal
0.66250801,1,16,Youngest,Spotify,0.5,No,No,Rock
0.66828781,1,16,Youngest,Spotify,3,Yes,No,Other
0.68799645,1,16,Youngest,Spotify,2,Yes,No,Other
0.83921862,1,16,Youngest,Do not use,2,No,Yes,Other
0.92686933,1,16,Youngest,Other,3,Yes,No,Pop
0.9662866,1,16,Youngest,Spotify,3,Yes,No,Other
1.34312,1,16,Youngest,Spotify,2.5,Yes,Yes,Rock
1.4499568,1,16,Youngest,YouTube Music,3,Yes,Yes,Pop
1.4737475,1,16,Youngest,Apple Music,2,Yes,No,Classical
1.7199533,1,16,Youngest,Spotify,1,Yes,No,Classical
1.7199533,1,16,Youngest,Spotify,10,No,Yes,Rock
-1.4480909,0,17,Youngest,Spotify,3,Yes,No,Other
-1.3236064,0,17,Youngest,Apple Music,5,Yes,No,Metal
-1.1888422,0,17,Youngest,Apple Music,3,Yes,Yes,Pop
-1.1159964,0,17,Youngest,Apple Music,2,Yes,No,Pop
-1.0998473,0,17,Youngest,Spotify,4,Yes,No,Other
-0.86602211,0,17,Youngest,Spotify,2,No,No,Other
-0.83556563,0,17,Youngest,Apple Music,7,Yes,No,Rock
-0.82910877,0,17,Youngest,Spotify,4,No,No,Classical
-0.80792671,0,17,Youngest,Spotify,3,Yes,No,Rock
-0.7905131,0,17,Youngest,Spotify,7,Yes,No,Other
-0.77829176,0,17,Youngest,Spotify,2,Yes,Yes,Other
-0.77599674,0,17,Youngest,Spotify,1.5,Yes,No,Rock
-0.75939423,0,17,Youngest,Spotify,3,Yes,No,Metal
-0.63944536,0,17,Youngest,Spotify,1,No,No,Metal
-0.62795556,0,17,Youngest,Spotify,5,Yes,No,Other
-0.61765063,0,17,Youngest,YouTube Music,2,No,Yes,Rock
-0.56720173,1,17,Youngest,Spotify,5,Yes,No,Rock
-0.53793013,1,17,Youngest,Spotify,2,Yes,No,Classical
-0.41626331,1,17,Youngest,Spotify,2,Yes,No,Rock
-0.40709367,1,17,Youngest,Spotify,3,Yes,No,Classical
-0.40153804,1,17,Youngest,Spotify,1,Yes,No,Metal
-0.31580371,1,17,Youngest,Spotify,2,Yes,No,Pop
-0.21355699,1,17,Youngest,Spotify,1,Yes,No,Other
-0.17754485,1,17,Youngest,Spotify,10,Yes,Yes,Other
-0.14220975,1,17,Youngest,Spotify,2,Yes,No,Pop
-0.13865018,1,17,Youngest,Spotify,5,Yes,No,Pop
-0.11841895,1,17,Youngest,Spotify,2,Yes,No,Pop
-0.097236879,1,17,Youngest,Spotify,2,No,No,Pop
-0.080345862,1,17,Youngest,Spotify,4,No,No,Rock
0.020870389,1,17,Youngest,Spotify,2,Yes,No,Other
0.045691673,1,17,Youngest,Spotify,1.5,Yes,No,Classical
0.053621944,1,17,Youngest,Spotify,24,Yes,No,Other
0.072220474,1,17,Youngest,Apple Music,1,Yes,No,Pop
0.091929108,1,17,Youngest,Do not use,1,Yes,Yes,Other
0.091929108,1,17,Youngest,Spotify,2,Yes,No,Rock
0.14712729,1,17,Youngest,YouTube Music,8,Yes,No,Pop
0.18445842,1,17,Youngest,YouTube Music,3,Yes,No,Rock
0.38214219,1,17,Youngest,Spotify,3,Yes,No,Rock
0.39333305,1,17,Youngest,Spotify,2,Yes,Yes,Other
0.39814669,1,17,Youngest,Other,0,No,No,Other
0.42363513,1,17,Youngest,Spotify,4,Yes,No,Other
0.439859,1,17,Youngest,Apple Music,3,Yes,No,Pop
0.46238524,1,17,Youngest,Do not use,0.5,Yes,No,Other
0.4772006,1,17,Youngest,Spotify,12,Yes,No,Other
