PID,Face_Condition,Block,Trial,Face_image,Target_item,Target_type,Target_colour,Congruency,Attempt,Response,Correct,RT,Rating_score
2816545,Photo,6,72,Face_6,item_1_1,Garden,blue,Incongruent,1,h,1,1001.895,3
2816555,Photo,6,64,Face_6,item_1_1,Garden,blue,Incongruent,1,h,1,1187.885,3
2816558,Schematic,6,38,Face_37,item_1_1,Garden,blue,Congruent,1,h,1,1557.155,1
2816562,Schematic,6,70,Face_37,item_1_1,Garden,blue,Congruent,1,h,1,595.85,6
2816564,Schematic,6,35,Face_37,item_1_1,Garden,blue,Incongruent,1,h,1,894,4
2816567,Schematic,6,23,Face_37,item_1_1,Garden,blue,Incongruent,1,h,1,562.3999999,7
2816569,Photo,6,3,Face_21,item_1_1,Garden,blue,Congruent,1,h,1,757,6
2816570,Schematic,6,54,Face_37,item_1_1,Garden,blue,Incongruent,1,h,1,1036.345,4
2816571,Schematic,6,38,Face_37,item_1_1,Garden,blue,Incongruent,1,h,1,543.6,7
2816572,Photo,6,24,Face_15,item_1_1,Garden,blue,Incongruent,1,h,1,577,4
2816573,Photo,6,41,Face_21,item_1_1,Garden,blue,Congruent,1,h,1,674.01,7
2816575,Schematic,6,21,Face_37,item_1_1,Garden,blue,Incongruent,1,h,1,1124.745,3
2816580,Photo,6,3,Face_21,item_1_1,Garden,blue,Congruent,1,space,0,431.885,4
2816587,Photo,6,20,Face_15,item_1_1,Garden,blue,Incongruent,1,h,1,577.5199999,7
2816604,Schematic,6,26,Face_37,item_1_1,Garden,blue,Incongruent,1,h,1,933,5
2816610,Photo,6,29,Face_15,item_1_1,Garden,blue,Incongruent,1,h,1,1646.765,6
2816616,Schematic,6,4,Face_37,item_1_1,Garden,blue,Incongruent,1,h,1,720.235,8
2816619,Schematic,6,39,Face_37,item_1_1,Garden,blue,Congruent,1,space,0,730.59,3
2816622,Schematic,6,43,Face_37,item_1_1,Garden,blue,Incongruent,1,h,1,1144.47,6
2816629,Schematic,6,65,Face_37,item_1_1,Garden,blue,Congruent,1,h,1,1077.445,4
2816631,Schematic,6,42,Face_37,item_1_1,Garden,blue,Incongruent,1,h,1,1249.95,4
2816633,Schematic,6,21,Face_37,item_1_1,Garden,blue,Congruent,1,h,1,1509,8
2816635,Photo,6,22,Face_15,item_1_1,Garden,blue,Incongruent,1,h,1,1300.565,5
2816636,Photo,6,39,Face_15,item_1_1,Garden,blue,Incongruent,1,h,1,696.16,4
2816641,Photo,6,38,Face_6,item_1_1,Garden,blue,Incongruent,1,h,1,656,8
