TotalBill,Nights,Age,Gender,Spa
594,5,59,F,0
493,3,14,F,0
457,2,56,F,0
185,1,60,F,0
210,0,35,M,0
797,4,64,M,0
1370,8,64,F,0
2073,8,50,F,0
502,1,56,M,0
374,0,45,F,1
934,3,32,F,0
491,2,52,M,0
,4,63,F,0
554,2,41,F,0
415,1,33,M,0
608,2,57,M,0
625,2,33,M,0
624,2,36,M,0
1081,2,46,F,0
361,2,19,M,0
768,3,36,M,0
319,0,54,,0
1057,2,56,M,1
787,3,53,M,0
284,3,39,M,0
394,3,52,F,0
527,2,63,F,1
92,0,33,M,0
937,0,53,M,0
1233,1,18,M,0
185,0,36,M,0
733,0,46,M,0
913,2,45,M,0
173,4,56,M,0
305,2,53,F,0
323,4,61,F,0
880,0,24,F,0
549,6,64,M,0
456,2,63,M,1
1075,2,48,F,0
272,1,39,F,0
817,0,57,F,0
397,4,50,F,0
1080,2,54,M,0
988,1,32,M,0
1144,1,31,M,0
982,2,49,M,0
404,4,36,M,0
134,0,51,F,0
905,0,21,M,0
949,6,61,,0
1395,1,41,M,0
916,0,51,F,0
1344,1,26,M,0
1104,1,51,F,0
207,2,51,F,0
387,2,43,M,0
811,0,46,M,0
513,4,62,M,0
189,0,57,M,0
156,1,50,M,0
425,6,59,M,0
414,2,33,F,0
2179,4,61,F,1
379,2,47,M,0
283,1,18,F,0
665,4,67,F,1
940,0,57,M,0
439,2,46,M,0
896,0,59,M,0
1272,2,47,M,0
334,1,55,F,0
304,0,60,F,1
363,6,42,M,0
430,5,35,M,0
303,3,53,F,0
102,0,44,M,0
169,1,23,M,0
188,2,46,,0
386,4,42,M,0
932,2,48,M,0
210,0,30,M,0
151,1,53,M,0
872,0,50,M,0
898,0,48,F,0
1136,4,47,F,0
583,3,59,M,0
612,2,24,M,0
881,0,58,F,0
624,4,57,M,0
380,1,40,F,0
1621,5,45,F,1
372,0,49,M,1
176,2,71,F,0
288,2,26,M,0
315,10,55,F,0
615,2,48,F,1
199,2,34,M,0
842,2,57,F,0
509,4,55,M,0
423,2,51,M,0
1253,2,33,M,0
902,0,28,M,0
226,2,58,M,0
393,0,60,M,0
254,0,64,F,1
990,0,28,M,0
895,0,27,M,0
137,0,39,M,0
1250,2,19,M,0
1562,1,51,F,0
903,0,48,F,0
790,0,29,M,0
499,5,64,M,0
485,3,15,F,0
2142,14,63,F,0
1385,7,62,F,0
344,0,32,M,0
1092,1,52,M,0
929,0,40,F,0
1550,2,40,F,0
758,4,48,M,0
1160,1,37,M,0
1316,1,30,F,0
154,0,54,F,0
,0,37,M,0
278,4,74,M,0
302,0,56,M,1
959,0,29,M,0
323,0,78,M,1
592,2,72,M,1
88,0,38,M,0
683,2,56,F,0
622,2,43,M,0
864,3,54,F,0
462,1,54,F,0
283,1,28,F,0
474,0,50,F,0
1140,5,57,M,0
1145,4,50,F,0
647,0,53,M,1
1045,3,57,F,0
1496,5,46,M,0
843,2,58,M,0
895,3,47,M,0
771,3,49,M,0
408,2,53,M,0
883,2,64,M,0
690,2,49,M,0
1862,11,72,F,0
166,0,36,M,0
659,2,51,F,0
512,0,24,F,0
924,2,54,F,0
492,0,32,M,0
924,2,52,M,0
842,2,52,F,0
448,0,44,M,0
904,2,27,M,0
800,2,40,F,0
874,4,60,F,0
582,8,58,F,0
764,8,59,F,0
281,6,52,M,0
501,4,46,M,0
275,2,30,M,0
2845,7,65,M,1
372,0,47,M,0
227,4,60,M,0
408,4,42,F,0
304,0,38,M,0
430,2,12,M,0
314,1,42,M,0
840,4,32,M,0
410,4,64,M,0
356,1,38,M,0
212,4,49,F,0
241,2,53,M,0
205,0,62,F,1
240,2,53,F,0
157,1,44,F,0
326,0,23,M,0
194,1,29,M,0
230,0,52,F,0
226,0,27,M,1
268,0,60,F,1
545,3,54,F,0
193,0,27,F,0
277,0,53,M,0
464,4,56,M,0
930,8,49,F,0
404,7,68,F,0
258,0,36,M,0
151,1,40,M,0
223,0,43,M,0
635,6,29,M,0
324,3,30,F,0
366,3,55,M,0
397,0,63,M,0
142,0,27,M,0
558,2,75,F,1
768,4,42,M,0
1034,5,50,M,0
696,3,60,M,0
1005,6,49,M,0
773,3,38,M,0
949,4,31,M,0
859,3,35,M,0
2632,10,52,F,0
920,4,50,F,0
1073,4,53,M,0
863,4,42,F,0
774,7,71,F,0
824,4,34,M,0
515,2,26,M,0
312,0,62,F,1
709,4,61,F,1
405,1,22,M,0
650,4,66,M,1
179,0,30,M,0
817,4,34,M,0
147,0,45,M,0
854,3,45,M,0
245,0,72,M,1
854,0,52,M,1
1509,7,68,F,1
421,0,53,M,1
229,0,38,F,0
1757,7,55,F,0
384,1,62,F,0
951,4,44,F,0
518,3,62,F,0
597,2,29,M,0
336,1,43,M,0
588,2,55,F,0
440,0,50,M,1
296,0,74,F,1
698,3,52,F,0
740,4,61,M,0
623,2,33,F,0
1152,4,25,M,0
1001,4,73,F,0
1078,4,46,M,0
274,0,65,M,1
654,2,50,M,0
1166,4,56,M,0
377,0,56,M,1
1037,3,35,M,0
741,3,39,M,0
1009,4,34,F,0
1310,2,36,M,0
1247,4,58,F,0
347,1,63,M,0
1515,3,33,M,0
898,3,52,M,0
1492,5,51,F,0
1175,4,61,F,0
717,4,32,M,0
693,3,55,M,0
339,3,46,F,0
1247,8,66,F,0
799,2,34,F,1
1285,4,70,F,1
1299,2,28,M,0
760,2,63,M,1
964,5,54,M,0
481,2,39,M,0
1835,10,56,F,0
2035,10,60,F,0
739,3,30,M,0
902,4,27,M,0
1105,4,51,M,0
727,3,59,M,0
1526,4,50,M,0
872,3,41,M,0
905,4,61,F,0
202,0,5,F,0
1284,9,68,F,0
648,4,60,M,0
474,3,56,F,0
749,4,42,M,0
501,4,28,F,0
1120,2,47,M,0
542,0,47,M,1
464,2,34,M,0
459,2,43,F,0
550,1,47,M,0
1784,4,45,F,0
811,2,56,F,0
545,0,66,F,1
1710,10,62,M,0
317,2,30,M,0
1122,2,46,M,0
441,0,38,M,0
428,1,53,M,0
622,1,56,F,1
830,2,48,M,0
344,0,54,F,1
270,0,44,F,0
704,5,36,M,0
669,2,61,F,1
1861,3,20,M,0
384,1,42,M,0
504,2,41,M,0
,4,43,F,0
,2,44,F,1
,12,45,F,0
,6,51,M,0
,4,43,M,0
1519,4,57,M,0
427,10,45,F,1
428,2,54,M,0
1506,4,35,M,0
3144,8,38,M,0
795,3,43,M,0
350,1,52,M,0
654,3,30,F,0
954,4,55,M,0
2634,8,55,M,1
225,1,57,F,0
298,0,26,M,0
1450,5,46,M,0
1139,6,63,F,0
374,1,47,F,0
1136,4,25,M,0
1856,6,53,F,0
703,5,49,F,0
597,2,49,F,0
223,1,40,F,0
3479,10,44,F,0
1866,6,46,M,0
2205,5,40,M,0
884,2,12,M,0
114,0,56,M,0
2118,12,56,M,0
1261,4,30,M,0
2408,7,33,F,0
382,1,38,F,0
313,0,41,M,0
1216,4,44,M,0
2116,8,53,F,0
679,3,57,F,0
504,2,37,F,0
578,2,8,F,0
734,4,53,F,0
693,1,59,F,1
299,0,32,F,0
909,4,46,F,0
1174,4,52,M,0
587,2,55,F,0
1654,5,39,M,0
652,3,32,M,0
871,6,64,F,0
3413,12,52,M,0
2678,12,61,F,0
577,0,57,M,1
410,2,46,M,0
1047,2,34,M,0
1941,8,58,F,0
905,2,38,F,0
1305,3,31,F,0
2135,6,45,M,0
1592,4,15,M,0
355,1,50,M,0
1256,4,32,M,0
1056,4,20,M,0
974,2,43,M,0
485,3,67,F,0
4897,16,42,M,0
695,4,22,M,0
1031,4,62,F,0
297,0,37,M,0
2134,4,50,F,0
3000,10,51,M,0
558,0,31,M,1
373,1,33,M,0
1417,5,48,M,0
304,0,43,M,0
1662,3,46,M,0
1357,6,43,F,0
407,4,63,M,0
1129,4,58,F,0
656,2,40,F,0
516,2,30,M,0
327,0,47,F,0
411,2,54,F,0
2073,8,50,F,0
2266,2,51,M,1
1953,5,17,M,0
356,1,40,M,0
774,5,38,M,0
1786,4,30,M,0
2708,7,24,M,0
1950,5,56,F,0
752,2,52,M,0
2042,4,43,M,0
774,0,45,F,1
2714,10,27,F,0
2233,4,16,M,0
544,4,60,F,0
2600,9,30,M,0
311,0,49,F,0
2590,9,36,M,0
1389,4,51,M,0
415,2,40,F,0
430,2,45,M,0
629,3,70,F,1
989,2,44,M,0
2152,6,42,M,0
1002,4,50,F,0
484,4,38,F,0
920,3,53,M,0
519,2,46,M,0
3652,8,41,M,0
1510,4,46,M,0
4775,14,66,M,0
1674,4,38,M,0
3011,8,23,F,0
1043,4,43,,0
1210,4,55,F,0
1664,4,74,F,0
1201,3,43,M,0
1058,4,59,F,0
302,0,27,M,0
972,2,44,M,0
414,2,46,F,0
592,4,34,F,0
1298,2,58,F,1
1932,6,37,F,0
1524,4,37,M,0
508,2,64,M,0
2226,5,33,M,0
1090,4,57,F,0
487,3,52,M,0
1426,4,58,F,0
775,3,57,M,0
1096,4,55,M,0
3955,11,58,F,0
1210,3,31,M,0
380,1,37,F,0
704,4,25,M,0
,6,30,M,0
279,0,55,M,1
1741,8,31,M,0
1096,4,26,M,0
589,3,26,M,0
1348,6,37,M,0
613,2,27,F,0
782,4,33,M,0
2286,11,18,F,0
892,6,28,M,0
2168,6,18,F,0
250,0,56,F,1
1740,8,45,F,0
744,4,62,F,0
513,3,69,M,0
1095,4,17,M,0
886,4,47,M,0
594,4,43,F,0
550,0,36,M,1
299,0,64,F,1
1376,9,62,F,0
1372,8,36,F,0
1060,4,39,M,0
1428,12,68,F,0
1207,6,28,M,0
1169,6,57,M,0
912,4,34,M,0
878,4,33,M,0
839,6,60,F,0
2072,10,59,F,1
2126,10,39,F,0
714,4,59,F,0
334,1,62,F,1
680,4,61,F,0
381,2,57,M,0
1313,6,46,M,0
960,5,38,F,0
1134,4,33,M,0
227,0,22,M,0
1473,6,40,F,0
1266,4,54,M,0
1092,6,51,F,0
965,4,51,F,0
445,2,50,M,0
647,2,53,M,1
239,0,46,F,0
1140,4,11,M,0
841,4,44,M,0
1508,5,31,F,0
361,0,44,M,1
1340,6,28,F,0
848,4,41,M,0
1097,6,26,F,0
970,4,26,M,0
1049,6,51,M,0
1291,6,31,M,0
933,4,42,M,0
1119,5,25,M,0
556,3,56,M,0
1381,7,48,F,0
1100,6,37,M,0
1841,6,52,M,0
1213,6,56,F,0
1144,4,51,F,0
1180,4,43,F,0
881,5,60,M,0
1808,9,57,F,0
1660,8,44,M,0
769,4,67,M,0
996,5,62,F,0
759,2,25,M,0
991,5,48,M,0
458,0,36,F,0
1737,9,48,F,0
1148,8,61,F,0
1303,4,55,M,0
774,3,46,F,0
1422,6,46,F,0
1021,5,47,F,
1064,6,59,F,0
772,4,22,M,0
713,4,47,M,0
744,3,56,F,0
735,3,46,M,0
635,2,53,M,0
899,4,31,M,0
1322,6,54,F,0
993,4,49,F,0
152,1,50,F,0
2112,14,66,F,1
833,7,47,F,
499,2,54,F,0
1045,7,55,F,0
987,4,49,M,0
648,3,53,F,0
338,0,60,M,1
800,2,58,F,1
1194,6,30,M,0
858,4,18,M,0
818,1,52,F,1
1699,10,48,M,0
1353,8,54,M,0
294,2,40,M,0
368,2,46,F,0
324,0,60,F,1
758,6,49,F,0
1029,4,22,M,0
1515,8,52,F,0
1001,6,55,F,0
602,4,51,M,0
1522,10,23,F,0
733,4,53,F,0
1481,8,65,F,0
1320,5,47,F,0
577,3,67,M,0
697,4,25,M,0
255,0,50,M,0
925,4,30,M,0
931,4,34,F,0
2179,8,50,M,0
1170,7,44,F,0
768,6,68,M,0
2461,12,48,M,0
898,3,48,M,0
884,6,64,F,0
790,3,38,M,0
811,4,49,M,0
470,2,50,F,0
1530,8,28,F,0
1858,10,62,F,0
1348,4,48,M,0
827,4,51,M,0
2066,10,51,M,0
959,4,33,M,0
1066,4,40,M,0
710,4,58,M,0
1237,6,29,M,0
501,0,23,M,0
1173,4,49,M,0
727,3,33,M,0
1202,5,60,M,0
879,4,67,F,1
816,3,39,M,0
817,3,56,M,0
2308,12,18,F,0
818,4,46,M,0
1028,3,58,,1
1131,4,31,M,0
1283,6,48,M,0
1116,4,39,M,0
1599,6,60,M,0
727,4,28,M,0
356,1,53,M,0
617,4,67,F,0
731,4,43,M,0
1212,4,39,M,0
1364,5,36,M,0
721,4,20,M,0
324,0,43,F,1
1710,6,39,M,1
1164,6,41,M,0
340,0,59,F,1
857,3,35,M,0
503,3,60,F,0
1325,5,52,F,1
928,4,60,F,0
1462,10,52,M,0
679,4,60,F,0
1318,6,56,M,0
1671,8,63,M,0
805,4,59,F,0
1266,8,61,F,0
1321,7,51,F,0
751,4,47,F,0
247,2,67,F,0
916,4,43,M,0
986,4,47,F,0
1931,8,45,M,0
919,3,43,F,1
1630,8,51,M,0
658,4,61,F,0
1083,4,51,M,0
1034,4,53,F,0
755,2,48,M,0
711,4,57,M,0
435,2,67,F,0
1456,8,60,F,0
862,4,67,,0
937,4,19,M,0
1036,4,51,M,0
727,4,-20,F,0
1143,5,24,M,0
767,4,54,F,0
1399,9,65,F,0
1206,4,55,F,0
269,0,71,F,1
990,4,62,M,0
1379,6,43,M,0
1244,6,39,M,0
949,4,59,M,0
610,0,54,M,1
1278,6,47,M,0
1536,5,42,F,0
423,0,40,M,1
1151,4,24,M,0
1607,6,44,,0
637,3,50,F,0
588,3,48,M,0
923,5,53,M,0
315,0,56,M,1
1212,4,36,M,0
1040,6,36,F,0
865,4,25,M,0
694,4,54,F,0
716,4,44,M,0
1676,8,51,M,0
599,4,48,M,0
1256,4,27,M,0
268,0,53,F,1
783,4,56,F,0
1084,3,28,M,0
261,0,55,F,1
1171,5,22,M,0
449,2,29,F,0
920,4,60,M,0
1542,8,42,F,0
862,4,53,M,0
450,2,63,F,1
397,2,7,M,0
614,4,54,F,0
1182,4,29,M,0
1309,4,29,M,0
751,3,10,M,0
727,3,64,F,0
1401,6,45,M,0
1034,6,45,M,0
2216,6,41,F,0
5925,16,59,F,0
5153,14,64,F,0
,6,50,M,0
4277,15,50,F,1
3137,8,49,F,0
1616,6,57,M,0
2124,6,36,M,0
,8,18,M,0
961,4,34,M,0
442,2,55,F,0
1882,6,59,M,0
678,2,63,F,0
2048,9,63,F,0
1176,1,54,M,1
3914,9,61,M,0
876,4,46,M,0
1198,2,32,M,0
288,0,64,F,1
1422,6,55,M,0
160,0,28,F,0
1219,4,52,M,0
2162,9,59,F,0
1676,6,-20,M,0
1590,4,66,M,0
,2,60,F,0
1530,2,46,F,1
743,1,54,M,1
,6,47,M,0
1811,8,60,M,0
172,2,48,M,0
1676,7,50,M,0
1564,4,56,F,0
1401,5,49,F,0
1537,6,26,M,0
549,0,57,M,1
651,3,21,M,0
993,2,32,M,0
911,2,70,F,1
,2,61,M,1
1954,8,52,M,0
1400,5,42,M,0
,5,53,M,0
3199,14,57,F,0
46,0,46,M,0
374,2,31,M,0
1385,4,13,M,0
1176,11,69,M,0
,4,28,M,0
2228,7,19,M,0
,4,58,F,0
,6,57,M,0
,6,25,M,0
420,2,41,M,0
636,3,45,M,0
1544,6,46,M,0
877,4,42,M,0
3278,9,39,M,0
2192,2,30,F,1
,3,57,M,0
,8,41,F,0
1139,4,43,M,0
934,2,28,M,0
1414,4,35,M,0
1048,4,41,F,0
1188,6,56,M,0
720,2,28,M,0
2109,5,36,F,0
3182,12,36,F,0
1621,8,66,F,0
1870,6,52,M,0
1220,5,53,F,0
2287,6,68,F,0
809,3,45,F,0
,1,60,F,1
1205,4,42,M,0
,8,57,M,0
1360,4,47,M,0
816,4,50,F,0
1009,5,31,M,0
125,0,54,M,1
580,1,45,M,0
762,2,57,M,0
1403,5,50,M,0
13,0,16,F,0
2626,6,68,M,1
308,1,44,F,0
1348,4,32,F,0
779,6,61,M,0
775,4,55,M,0
3953,18,58,F,0
1071,3,52,M,0
1568,3,35,F,0
1754,8,28,M,0
2356,4,52,M,1
380,1,57,F,0
336,0,27,M,1
1522,6,23,M,0
600,4,48,F,0
1199,4,30,M,0
410,2,37,M,0
495,3,62,F,0
915,2,43,M,0
2928,6,54,,0
379,6,56,M,0
1025,4,53,F,0
1043,8,54,F,0
,6,53,M,0
460,4,74,M,0
634,2,37,F,0
12,0,36,M,0
934,4,38,M,0
1341,6,43,M,0
23,0,33,M,0
1528,6,51,M,0
1646,10,61,F,0
1980,6,62,F,0
1024,4,60,M,0
979,6,77,F,0
1054,4,55,F,0
609,3,33,M,0
668,4,47,F,0
1004,2,36,M,0
1513,2,52,F,0
1380,4,39,M,0
1840,1,60,F,1
2078,5,39,M,0
1576,6,48,M,0
1142,4,55,F,0
772,4,52,M,0
790,2,32,M,0
1453,5,49,F,0
,4,56,M,0
1553,4,43,F,0
,8,45,M,0
1888,6,43,M,0
2323,6,35,M,0
,6,66,F,0
,4,57,M,0
142,0,38,M,1
825,2,44,M,0
,6,38,M,0
1271,4,23,M,0
440,2,47,M,0
2227,8,59,F,0
,8,32,M,0
1183,6,66,M,0
503,1,26,F,0
843,3,39,F,0
