,year,14thJuly,15thJuly,40daysMean,40daysCount
0,1827,0.0,0.0,1.1400000000000001,12.0
1,1828,0.0,0.0,2.6975000000000002,19.0
2,1829,0.7,0.0,4.157500000000001,21.0
3,1830,7.9,0.8,2.5300000000000002,11.0
4,1831,0.0,0.0,3.2225,14.0
5,1832,1.4,5.4,1.5150000000000001,6.0
6,1833,0.0,0.0,2.4050000000000002,15.0
7,1834,0.0,0.0,2.58,19.0
8,1835,0.0,0.0,1.4324999999999999,6.0
9,1836,0.0,0.0,1.9175,13.0
10,1837,6.2,0.0,0.6199999999999999,12.0
11,1838,2.7,1.3,2.02,18.0
12,1839,18.3,0.5,2.7725,25.0
13,1840,0.0,0.0,0.8300000000000001,17.0
14,1841,0.0,0.0,3.3049999999999997,13.0
15,1842,0.0,5.9,2.3674999999999997,13.0
16,1843,2.8,5.1,1.135,20.0
17,1844,0.0,0.0,1.6724999999999999,13.0
18,1845,0.0,0.0,2.395,20.0
19,1846,0.0,0.0,1.8824999999999998,18.0
20,1847,6.3,3.0,1.475,11.0
21,1848,1.5,0.0,2.0450000000000004,14.0
22,1849,0.0,0.0,1.1975000000000002,15.0
23,1850,2.4,4.6,3.7,20.0
24,1851,0.0,0.0,1.8299999999999996,20.0
25,1852,8.1,3.4,2.0375,8.0
26,1853,16.5,0.0,2.8975,25.0
27,1854,0.0,0.3,1.3875,20.0
28,1855,11.9,10.6,1.6725,21.0
29,1856,7.6,0.0,1.2950000000000002,11.0
30,1857,0.0,0.0,1.9875,9.0
31,1858,0.0,0.0,1.2200000000000002,17.0
32,1859,0.0,0.0,1.8225000000000002,11.0
33,1860,1.8,1.6,2.415,15.0
34,1861,0.0,0.0,4.0200000000000005,32.0
35,1862,0.0,0.5,1.32,21.0
36,1863,0.0,0.0,1.1025,5.0
37,1864,2.0,0.5,0.6975000000000001,9.0
38,1865,0.0,4.0,2.575,16.0
39,1866,0.0,0.0,1.4475000000000002,11.0
40,1867,1.3,0.0,2.3899999999999997,26.0
41,1868,0.0,0.0,1.45,6.0
42,1869,2.3,0.0,0.3175,11.0
43,1870,0.0,0.0,0.7025,8.0
44,1871,26.2,2.0,2.7924999999999995,27.0
45,1872,0.0,0.0,2.1075000000000004,13.0
46,1873,0.5,0.0,2.1825,18.0
47,1874,0.0,0.0,0.5725,14.0
48,1875,0.0,4.2,3.7375,26.0
49,1876,0.0,12.2,0.86,11.0
50,1877,0.0,0.0,2.5749999999999997,21.0
51,1878,0.0,3.3,1.0,11.0
52,1879,6.1,8.1,3.0425,24.0
53,1880,0.0,5.8,4.7625,30.0
54,1881,0.0,0.0,1.3,16.0
55,1882,0.0,0.0,3.0725000000000002,25.0
56,1883,5.7,4.6,3.655,29.0
57,1884,0.0,0.0,1.5899999999999999,25.0
58,1885,0.0,0.0,0.6075000000000002,4.0
59,1886,0.5,0.0,2.3099999999999996,21.0
60,1887,0.0,0.0,0.325,8.0
61,1888,5.6,4.5,3.6375,30.0
62,1889,0.0,0.6,1.7899999999999998,24.0
63,1890,0.0,0.0,2.6975000000000002,26.0
64,1891,0.0,2.5,1.69,21.0
65,1892,0.0,0.0,2.8099999999999996,17.0
66,1893,0.0,0.9,2.665,29.0
67,1894,0.0,7.8,1.6800000000000002,23.0
68,1895,0.0,0.0,2.765,27.0
69,1896,0.0,0.0,1.105,16.0
70,1897,0.0,0.0,2.3800000000000003,15.0
71,1898,0.0,0.0,0.8825000000000001,13.0
72,1899,0.0,0.0,1.5699999999999998,10.0
73,1900,8.7,8.9,0.8825,14.0
74,1901,0.0,0.0,2.9675,13.0
75,1902,3.8,2.2,0.525,14.0
76,1903,51.1,30.9,2.1625000000000005,25.0
77,1904,8.1,1.0,0.9925,14.0
78,1905,0.0,3.8,1.56,9.0
79,1906,0.0,3.5,2.1525,13.0
80,1907,1.8,5.9,2.2425,19.0
81,1908,0.1,0.0,2.0625,15.0
82,1909,0.0,0.0,2.2625,22.0
83,1910,0.0,0.0,1.7600000000000002,25.0
84,1911,0.0,0.0,0.8275,3.0
85,1912,0.0,0.5,1.9949999999999999,24.0
86,1913,0.0,0.0,0.67,18.0
87,1914,0.0,0.0,2.5100000000000007,26.0
88,1915,0.0,0.0,3.4550000000000005,29.0
89,1916,0.0,0.0,1.43,16.0
90,1917,0.0,0.0,2.725,15.0
91,1918,3.7,0.5,2.6774999999999998,25.0
92,1919,0.0,0.0,1.735,15.0
93,1920,4.3,1.5,3.3924999999999996,25.0
94,1921,0.0,0.0,0.325,9.0
95,1922,0.0,0.0,2.6900000000000004,23.0
96,1923,0.0,4.6,0.44000000000000006,17.0
97,1924,0.0,0.0,1.7274999999999998,21.0
98,1925,0.0,0.0,1.6575000000000002,22.0
99,1926,2.6,0.0,1.52,21.0
100,1927,0.0,0.0,3.6125,26.0
101,1928,0.5,0.0,0.45249999999999996,10.0
102,1929,1.5,0.6,0.51,12.0
103,1930,0.0,0.0,1.7475,25.0
104,1931,6.1,0.0,2.2525000000000004,23.0
105,1932,0.0,0.0,1.6675,27.0
106,1933,0.0,0.0,1.8925,11.0
107,1934,0.0,0.0,1.4925000000000002,12.0
108,1935,2.8,10.4,1.4749999999999999,10.0
109,1936,1.0,0.5,3.0625,28.0
110,1937,0.0,0.0,1.3699999999999999,15.0
111,1938,0.0,0.0,0.8699999999999999,15.0
112,1939,1.3,21.8,2.9675000000000002,31.0
113,1940,0.0,0.0,1.7675,24.0
114,1941,0.0,0.0,1.9425000000000001,20.0
115,1942,0.0,0.0,0.6875000000000001,24.0
116,1943,2.8,7.1,0.7825,13.0
117,1944,1.5,0.8,2.2024999999999997,20.0
118,1945,0.0,0.0,1.8350000000000002,16.0
119,1946,0.0,2.8,1.2449999999999999,12.0
120,1947,7.5,0.0,1.1175000000000002,19.0
121,1948,0.0,0.0,1.3150000000000002,12.0
122,1949,0.0,0.0,0.5125,10.0
123,1950,7.1,0.5,3.7349999999999994,26.0
124,1951,1.0,0.0,1.2200000000000002,11.0
125,1952,1.3,0.0,0.2925,7.0
126,1953,2.8,5.1,2.0925000000000002,28.0
127,1954,0.0,0.0,1.3599999999999999,21.0
128,1955,0.5,0.0,0.4875,2.0
129,1956,0.0,5.3,1.25,17.0
130,1957,0.0,0.0,3.05,30.0
131,1958,0.0,0.0,2.5974999999999997,27.0
132,1959,0.0,0.0,1.105,11.0
133,1960,3.3,0.5,4.68,28.0
134,1961,0.0,0.0,1.4525000000000001,10.0
135,1962,0.0,0.0,0.9925,13.0
136,1963,0.0,0.5,2.1475,18.0
137,1964,0.3,0.0,0.7899999999999999,7.0
138,1965,0.0,9.4,2.9825,24.0
139,1966,7.1,0.3,2.0599999999999996,22.0
140,1967,0.0,0.0,2.7824999999999998,17.0
141,1968,0.3,0.0,4.65,13.0
142,1969,0.0,0.3,0.6475,6.0
143,1970,0.0,0.0,1.4725,22.0
144,1971,14.8,0.5,1.5725,11.0
145,1972,0.0,0.0,0.705,15.0
146,1973,0.0,0.0,4.097499999999999,20.0
147,1974,0.0,0.0,2.7699999999999996,18.0
148,1975,0.0,5.0,0.9724999999999998,20.0
149,1976,0.0,0.0,0.7474999999999999,8.0
150,1977,1.3,0.0,0.3325,15.0
151,1978,0.0,5.0,1.6125,17.0
152,1979,0.6,0.2,0.5075000000000001,4.0
153,1980,5.1,0.6,2.6849999999999996,23.0
154,1981,0.0,0.0,0.55,18.0
155,1982,0.0,0.8,1.8625000000000003,6.0
156,1983,0.3,0.0,0.425,12.0
157,1984,0.0,0.0,0.36499999999999994,9.0
158,1985,0.0,0.0,1.8350000000000002,20.0
159,1986,0.0,0.0,0.9650000000000001,19.0
160,1987,0.0,0.2,1.675,27.0
161,1988,0.0,0.0,2.96,35.0
162,1989,0.0,0.0,0.9975000000000002,9.0
163,1990,0.0,0.0,0.9625,7.0
164,1991,6.6,2.9,2.5449999999999995,16.0
165,1992,0.0,0.0,2.2775,23.0
166,1993,4.5,7.3,1.3550000000000002,23.0
167,1994,0.0,0.0,1.1725,12.0
168,1995,0.0,0.0,0.885,12.0
169,1996,0.0,0.0,0.48,13.0
170,1997,0.4,1.7,1.5950000000000002,18.0
171,1998,1.0,0.0,1.25,18.0
172,1999,1.2,0.0,0.8099999999999999,10.0
173,2000,0.0,0.0,0.85,11.0
